============================================================
双色球历史开奖记录
数据更新时间：2026-03-23 13:01:54
共 1820 期开奖数据
============================================================

格式：开奖日期 | 期号 | 红球 (6 个) | 蓝球 (1 个)
2022-09-13 | 2022106 | 红球：17 20 22 23 24 31 | 蓝球：01
2022-09-11 | 2022105 | 红球：06 12 13 15 21 23 | 蓝球：15
2022-09-08 | 2022104 | 红球：01 08 19 25 26 31 | 蓝球：01
2022-09-06 | 2022103 | 红球：06 09 12 14 20 28 | 蓝球：10
2022-09-04 | 2022102 | 红球：09 10 12 18 29 32 | 蓝球：14
2022-09-01 | 2022101 | 红球：04 16 18 19 27 28 | 蓝球：04
2022-08-30 | 2022100 | 红球：02 06 07 15 20 21 | 蓝球：15
2022-08-28 | 2022099 | 红球：01 11 23 24 26 32 | 蓝球：15
2022-08-25 | 2022098 | 红球：02 03 04 06 21 33 | 蓝球：05
2022-08-23 | 2022097 | 红球：04 05 10 13 30 31 | 蓝球：14
2022-08-21 | 2022096 | 红球：03 16 17 19 25 33 | 蓝球：07
2022-08-18 | 2022095 | 红球：04 13 14 18 20 28 | 蓝球：08
2022-08-16 | 2022094 | 红球：06 11 13 16 19 31 | 蓝球：02
2022-08-14 | 2022093 | 红球：21 22 24 28 29 32 | 蓝球：14
2022-08-11 | 2022092 | 红球：07 10 16 20 21 27 | 蓝球：11
2022-08-09 | 2022091 | 红球：08 18 20 22 24 28 | 蓝球：10
2022-08-07 | 2022090 | 红球：01 04 25 27 29 30 | 蓝球：07
2022-08-04 | 2022089 | 红球：02 07 15 29 31 33 | 蓝球：15
2022-08-02 | 2022088 | 红球：03 09 15 17 20 22 | 蓝球：06
2022-07-31 | 2022087 | 红球：05 06 09 13 23 25 | 蓝球：08
2022-07-28 | 2022086 | 红球：01 04 08 21 23 24 | 蓝球：11
2022-07-26 | 2022085 | 红球：07 09 14 31 32 33 | 蓝球：13
2022-07-24 | 2022084 | 红球：03 18 23 24 25 32 | 蓝球：09
2022-07-21 | 2022083 | 红球：08 12 13 14 19 20 | 蓝球：05
2022-07-19 | 2022082 | 红球：04 10 11 23 30 32 | 蓝球：14
2022-07-17 | 2022081 | 红球：04 08 11 21 27 30 | 蓝球：01
2022-07-14 | 2022080 | 红球：05 12 15 17 18 27 | 蓝球：04
2022-07-12 | 2022079 | 红球：01 09 15 17 22 23 | 蓝球：16
2022-07-10 | 2022078 | 红球：01 04 05 15 17 31 | 蓝球：09
2022-07-07 | 2022077 | 红球：03 17 18 19 20 27 | 蓝球：16
2022-07-05 | 2022076 | 红球：08 09 10 13 24 29 | 蓝球：02
2022-07-03 | 2022075 | 红球：01 02 04 25 26 30 | 蓝球：10
2022-06-30 | 2022074 | 红球：05 07 15 19 29 33 | 蓝球：15
2022-06-28 | 2022073 | 红球：06 10 14 15 26 29 | 蓝球：12
2022-06-26 | 2022072 | 红球：05 14 15 16 18 32 | 蓝球：12
2022-06-23 | 2022071 | 红球：04 07 15 18 29 33 | 蓝球：01
2022-06-21 | 2022070 | 红球：04 06 09 27 28 33 | 蓝球：02
2022-06-19 | 2022069 | 红球：06 07 13 19 26 29 | 蓝球：08
2022-06-16 | 2022068 | 红球：07 12 15 24 26 29 | 蓝球：06
2022-06-14 | 2022067 | 红球：01 05 13 21 26 29 | 蓝球：15
2022-06-12 | 2022066 | 红球：06 11 14 20 27 30 | 蓝球：09
2022-06-09 | 2022065 | 红球：09 14 18 23 28 31 | 蓝球：02
2022-06-07 | 2022064 | 红球：04 06 12 13 17 31 | 蓝球：16
2022-06-05 | 2022063 | 红球：06 08 09 17 22 31 | 蓝球：11
2022-06-02 | 2022062 | 红球：16 18 20 21 23 33 | 蓝球：05
2022-05-31 | 2022061 | 红球：01 03 16 18 29 33 | 蓝球：06
2022-05-29 | 2022060 | 红球：16 18 19 24 28 32 | 蓝球：01
2022-05-26 | 2022059 | 红球：06 09 18 19 29 33 | 蓝球：06
2022-05-24 | 2022058 | 红球：06 13 14 23 31 33 | 蓝球：01
2022-05-22 | 2022057 | 红球：12 15 20 26 30 33 | 蓝球：16
2022-05-19 | 2022056 | 红球：01 06 11 14 17 26 | 蓝球：15
2022-05-17 | 2022055 | 红球：02 04 09 26 28 33 | 蓝球：03
2022-05-15 | 2022054 | 红球：08 12 21 27 28 33 | 蓝球：11
2022-05-12 | 2022053 | 红球：10 14 18 23 27 33 | 蓝球：15
2022-05-10 | 2022052 | 红球：07 24 27 29 31 32 | 蓝球：15
2022-05-08 | 2022051 | 红球：02 05 11 17 21 33 | 蓝球：01
2022-05-05 | 2022050 | 红球：03 05 08 14 27 33 | 蓝球：08
2022-05-03 | 2022049 | 红球：02 04 07 18 25 26 | 蓝球：10
2022-05-01 | 2022048 | 红球：05 07 17 20 26 31 | 蓝球：14
2022-04-28 | 2022047 | 红球：03 07 08 14 27 30 | 蓝球：09
2022-04-26 | 2022046 | 红球：02 11 24 25 27 30 | 蓝球：14
2022-04-24 | 2022045 | 红球：03 12 17 18 19 28 | 蓝球：04
2022-04-21 | 2022044 | 红球：01 07 08 21 23 29 | 蓝球：06
2022-04-19 | 2022043 | 红球：02 17 20 23 25 27 | 蓝球：08
2022-04-17 | 2022042 | 红球：05 10 11 21 22 30 | 蓝球：13
2022-04-14 | 2022041 | 红球：05 07 21 22 24 29 | 蓝球：14
2022-04-12 | 2022040 | 红球：03 12 14 16 31 33 | 蓝球：12
2022-04-10 | 2022039 | 红球：02 06 07 10 15 20 | 蓝球：05
2022-04-07 | 2022038 | 红球：09 12 13 16 24 32 | 蓝球：04
2022-04-05 | 2022037 | 红球：01 10 13 20 22 32 | 蓝球：14
2022-04-03 | 2022036 | 红球：02 03 14 16 26 31 | 蓝球：02
2022-03-31 | 2022035 | 红球：08 12 13 19 23 25 | 蓝球：15
2022-03-29 | 2022034 | 红球：14 17 26 31 32 33 | 蓝球：10
2022-03-27 | 2022033 | 红球：05 12 19 22 25 26 | 蓝球：05
2022-03-24 | 2022032 | 红球：04 10 11 14 23 32 | 蓝球：07
2022-03-22 | 2022031 | 红球：01 10 11 22 26 32 | 蓝球：07
2022-03-20 | 2022030 | 红球：12 23 24 26 27 30 | 蓝球：05
2022-03-17 | 2022029 | 红球：03 08 10 13 26 32 | 蓝球：08
2022-03-15 | 2022028 | 红球：05 11 20 22 23 29 | 蓝球：09
2022-03-13 | 2022027 | 红球：14 15 18 19 26 32 | 蓝球：09
2022-03-10 | 2022026 | 红球：03 04 10 15 22 24 | 蓝球：02
2022-03-08 | 2022025 | 红球：06 19 24 25 28 32 | 蓝球：04
2022-03-06 | 2022024 | 红球：07 09 10 14 19 24 | 蓝球：15
2022-03-03 | 2022023 | 红球：07 12 17 19 24 25 | 蓝球：02
2022-03-01 | 2022022 | 红球：01 07 11 15 17 19 | 蓝球：06
2022-02-27 | 2022021 | 红球：03 07 22 24 26 31 | 蓝球：14
2022-02-24 | 2022020 | 红球：09 11 14 22 30 32 | 蓝球：01
2022-02-22 | 2022019 | 红球：05 06 14 20 21 25 | 蓝球：08
2022-02-20 | 2022018 | 红球：07 11 16 17 30 32 | 蓝球：16
2022-02-17 | 2022017 | 红球：06 09 24 29 30 32 | 蓝球：07
2022-02-15 | 2022016 | 红球：05 10 19 20 29 31 | 蓝球：14
2022-02-13 | 2022015 | 红球：06 14 16 27 28 31 | 蓝球：07
2022-02-10 | 2022014 | 红球：06 07 13 14 15 27 | 蓝球：04
2022-02-08 | 2022013 | 红球：02 03 04 07 10 18 | 蓝球：15
2022-01-27 | 2022012 | 红球：04 07 08 29 30 31 | 蓝球：01
2022-01-25 | 2022011 | 红球：06 15 23 24 25 33 | 蓝球：15
2022-01-23 | 2022010 | 红球：12 18 19 20 21 32 | 蓝球：15
2022-01-20 | 2022009 | 红球：04 15 17 19 25 28 | 蓝球：16
2022-01-18 | 2022008 | 红球：02 03 07 09 20 21 | 蓝球：13
2022-01-16 | 2022007 | 红球：01 20 22 23 25 28 | 蓝球：16
2022-01-13 | 2022006 | 红球：03 06 09 15 22 31 | 蓝球：02
2022-01-11 | 2022005 | 红球：07 10 12 16 19 31 | 蓝球：16
2022-01-09 | 2022004 | 红球：05 19 24 28 30 32 | 蓝球：14
2022-01-06 | 2022003 | 红球：02 05 16 17 18 30 | 蓝球：06
2022-01-04 | 2022002 | 红球：02 12 21 23 25 31 | 蓝球：08
2022-01-02 | 2022001 | 红球：06 13 15 17 20 21 | 蓝球：03
2021-12-30 | 2021150 | 红球：09 14 20 21 24 26 | 蓝球：04
2021-12-28 | 2021149 | 红球：05 10 15 18 19 32 | 蓝球：05
2021-12-26 | 2021148 | 红球：10 12 15 17 19 20 | 蓝球：08
2021-12-23 | 2021147 | 红球：05 10 11 13 27 28 | 蓝球：09
2021-12-21 | 2021146 | 红球：07 09 21 22 26 32 | 蓝球：03
2021-12-19 | 2021145 | 红球：04 07 10 14 16 26 | 蓝球：09
2021-12-16 | 2021144 | 红球：02 05 13 15 23 26 | 蓝球：07
2021-12-14 | 2021143 | 红球：01 09 11 13 20 29 | 蓝球：09
2021-12-12 | 2021142 | 红球：04 07 17 19 20 24 | 蓝球：16
2021-12-09 | 2021141 | 红球：01 14 19 23 26 30 | 蓝球：10
2021-12-07 | 2021140 | 红球：05 10 16 26 27 33 | 蓝球：01
2021-12-05 | 2021139 | 红球：12 14 19 23 24 27 | 蓝球：01
2021-12-02 | 2021138 | 红球：11 14 15 16 27 32 | 蓝球：09
2021-11-30 | 2021137 | 红球：03 07 10 14 21 24 | 蓝球：01
2021-11-28 | 2021136 | 红球：02 06 09 15 19 28 | 蓝球：16
2021-11-25 | 2021135 | 红球：03 10 17 19 21 31 | 蓝球：04
2021-11-23 | 2021134 | 红球：01 02 16 19 25 31 | 蓝球：08
2021-11-21 | 2021133 | 红球：01 03 12 19 27 31 | 蓝球：10
2021-11-18 | 2021132 | 红球：01 04 06 14 20 28 | 蓝球：08
2021-11-16 | 2021131 | 红球：08 11 18 19 20 24 | 蓝球：01
2021-11-14 | 2021130 | 红球：08 09 15 24 26 30 | 蓝球：06
2021-11-11 | 2021129 | 红球：04 15 21 27 28 29 | 蓝球：10
2021-11-09 | 2021128 | 红球：05 17 20 21 23 33 | 蓝球：04
2021-11-07 | 2021127 | 红球：07 15 16 20 27 29 | 蓝球：07
2021-11-04 | 2021126 | 红球：19 20 23 27 28 31 | 蓝球：01
2021-11-02 | 2021125 | 红球：14 19 20 23 24 31 | 蓝球：09
2021-10-31 | 2021124 | 红球：01 03 18 22 29 32 | 蓝球：02
2021-10-28 | 2021123 | 红球：06 14 15 19 29 31 | 蓝球：05
2021-10-26 | 2021122 | 红球：04 05 12 15 18 28 | 蓝球：07
2021-10-24 | 2021121 | 红球：04 05 12 16 22 30 | 蓝球：15
2021-10-21 | 2021120 | 红球：01 07 08 12 13 18 | 蓝球：05
2021-10-19 | 2021119 | 红球：03 09 10 11 28 29 | 蓝球：13
2021-10-17 | 2021118 | 红球：02 06 14 18 20 31 | 蓝球：13
2021-10-14 | 2021117 | 红球：03 05 17 21 27 33 | 蓝球：04
2021-10-12 | 2021116 | 红球：06 14 17 18 31 33 | 蓝球：06
2021-10-10 | 2021115 | 红球：02 10 12 15 24 27 | 蓝球：08
2021-10-07 | 2021114 | 红球：04 06 08 14 24 27 | 蓝球：02
2021-10-05 | 2021113 | 红球：04 07 10 22 27 30 | 蓝球：02
2021-09-30 | 2021112 | 红球：05 06 21 25 28 33 | 蓝球：07
2021-09-28 | 2021111 | 红球：17 20 22 23 26 28 | 蓝球：06
2021-09-26 | 2021110 | 红球：10 13 15 24 31 32 | 蓝球：02
2021-09-23 | 2021109 | 红球：02 03 10 17 20 26 | 蓝球：16
2021-09-21 | 2021108 | 红球：11 15 18 24 26 32 | 蓝球：09
2021-09-19 | 2021107 | 红球：02 03 17 19 25 30 | 蓝球：01
2021-09-16 | 2021106 | 红球：01 04 07 14 30 31 | 蓝球：03
2021-09-14 | 2021105 | 红球：10 14 15 22 27 32 | 蓝球：09
2021-09-12 | 2021104 | 红球：01 07 17 20 22 28 | 蓝球：15
2021-09-09 | 2021103 | 红球：10 13 15 25 29 30 | 蓝球：15
2021-09-07 | 2021102 | 红球：05 09 15 24 27 30 | 蓝球：09
2021-09-05 | 2021101 | 红球：02 04 12 22 29 31 | 蓝球：01
2021-09-02 | 2021100 | 红球：07 09 12 13 14 29 | 蓝球：16
2021-08-31 | 2021099 | 红球：09 11 17 18 20 27 | 蓝球：15
2021-08-29 | 2021098 | 红球：01 10 13 18 26 32 | 蓝球：05
2021-08-26 | 2021097 | 红球：03 11 12 13 25 28 | 蓝球：12
2021-08-24 | 2021096 | 红球：01 07 11 14 15 26 | 蓝球：11
2021-08-22 | 2021095 | 红球：08 12 17 24 27 28 | 蓝球：13
2021-08-19 | 2021094 | 红球：09 11 24 25 28 33 | 蓝球：15
2021-08-17 | 2021093 | 红球：05 11 15 23 28 33 | 蓝球：03
2021-08-15 | 2021092 | 红球：02 07 08 10 12 31 | 蓝球：03
2021-08-12 | 2021091 | 红球：04 06 16 24 26 33 | 蓝球：16
2021-08-10 | 2021090 | 红球：05 06 12 14 27 28 | 蓝球：08
2021-08-08 | 2021089 | 红球：01 02 07 13 23 24 | 蓝球：12
2021-08-05 | 2021088 | 红球：04 12 15 16 19 26 | 蓝球：06
2021-08-03 | 2021087 | 红球：02 13 16 19 23 24 | 蓝球：04
2021-08-01 | 2021086 | 红球：06 08 10 14 28 29 | 蓝球：01
2021-07-29 | 2021085 | 红球：05 06 07 11 14 20 | 蓝球：02
2021-07-27 | 2021084 | 红球：05 07 09 11 21 28 | 蓝球：01
2021-07-25 | 2021083 | 红球：04 09 11 25 28 33 | 蓝球：04
2021-07-22 | 2021082 | 红球：03 06 11 13 26 32 | 蓝球：05
2021-07-20 | 2021081 | 红球：01 03 05 18 22 23 | 蓝球：01
2021-07-18 | 2021080 | 红球：05 08 22 23 24 29 | 蓝球：09
2021-07-15 | 2021079 | 红球：01 03 10 24 28 29 | 蓝球：13
2021-07-13 | 2021078 | 红球：04 06 15 26 27 31 | 蓝球：12
2021-07-11 | 2021077 | 红球：08 15 17 25 27 30 | 蓝球：10
2021-07-08 | 2021076 | 红球：03 09 21 23 30 32 | 蓝球：06
2021-07-06 | 2021075 | 红球：12 15 16 21 22 29 | 蓝球：01
2021-07-04 | 2021074 | 红球：04 05 09 14 25 27 | 蓝球：07
2021-07-01 | 2021073 | 红球：01 06 18 22 24 25 | 蓝球：08
2021-06-29 | 2021072 | 红球：01 09 15 16 19 21 | 蓝球：15
2021-06-27 | 2021071 | 红球：01 07 24 31 32 33 | 蓝球：08
2021-06-24 | 2021070 | 红球：01 05 11 15 16 29 | 蓝球：15
2021-06-22 | 2021069 | 红球：06 11 18 20 23 26 | 蓝球：05
2021-06-20 | 2021068 | 红球：04 14 18 24 31 32 | 蓝球：15
2021-06-17 | 2021067 | 红球：01 11 19 23 25 29 | 蓝球：09
2021-06-15 | 2021066 | 红球：02 06 19 26 30 33 | 蓝球：15
2021-06-13 | 2021065 | 红球：01 04 08 19 29 33 | 蓝球：16
2021-06-10 | 2021064 | 红球：04 06 08 15 16 18 | 蓝球：16
2021-06-08 | 2021063 | 红球：04 05 06 09 23 24 | 蓝球：09
2021-06-06 | 2021062 | 红球：12 13 15 20 22 25 | 蓝球：10
2021-06-03 | 2021061 | 红球：04 09 12 18 20 23 | 蓝球：01
2021-06-01 | 2021060 | 红球：10 11 17 20 29 30 | 蓝球：15
2021-05-30 | 2021059 | 红球：01 09 11 18 32 33 | 蓝球：14
2021-05-27 | 2021058 | 红球：09 11 13 18 19 28 | 蓝球：14
2021-05-25 | 2021057 | 红球：05 06 09 17 25 33 | 蓝球：16
2021-05-23 | 2021056 | 红球：08 21 22 23 29 32 | 蓝球：01
2021-05-20 | 2021055 | 红球：03 11 12 16 22 28 | 蓝球：10
2021-05-18 | 2021054 | 红球：07 13 21 22 24 31 | 蓝球：02
2021-05-16 | 2021053 | 红球：07 10 14 16 24 33 | 蓝球：16
2021-05-13 | 2021052 | 红球：03 04 06 19 21 30 | 蓝球：14
2021-05-11 | 2021051 | 红球：08 09 10 19 27 29 | 蓝球：15
2021-05-09 | 2021050 | 红球：02 09 10 16 25 28 | 蓝球：08
2021-05-06 | 2021049 | 红球：04 11 13 22 25 32 | 蓝球：01
2021-05-04 | 2021048 | 红球：04 15 17 22 29 32 | 蓝球：03
2021-05-02 | 2021047 | 红球：03 07 13 16 24 29 | 蓝球：01
2021-04-29 | 2021046 | 红球：05 09 13 21 28 33 | 蓝球：06
2021-04-27 | 2021045 | 红球：01 04 14 15 17 32 | 蓝球：02
2021-04-25 | 2021044 | 红球：05 07 14 17 26 28 | 蓝球：13
2021-04-22 | 2021043 | 红球：02 03 17 18 23 24 | 蓝球：01
2021-04-20 | 2021042 | 红球：05 09 10 22 25 27 | 蓝球：08
2021-04-18 | 2021041 | 红球：02 09 18 23 26 32 | 蓝球：14
2021-04-15 | 2021040 | 红球：02 06 07 24 28 29 | 蓝球：16
2021-04-13 | 2021039 | 红球：02 08 21 24 29 31 | 蓝球：13
2021-04-11 | 2021038 | 红球：05 07 09 16 18 27 | 蓝球：06
2021-04-08 | 2021037 | 红球：13 17 19 24 26 30 | 蓝球：12
2021-04-06 | 2021036 | 红球：01 02 06 11 21 26 | 蓝球：11
2021-04-04 | 2021035 | 红球：12 14 18 20 26 28 | 蓝球：11
2021-04-01 | 2021034 | 红球：04 10 12 18 23 25 | 蓝球：01
2021-03-30 | 2021033 | 红球：02 12 13 14 31 33 | 蓝球：06
2021-03-28 | 2021032 | 红球：01 05 08 15 16 30 | 蓝球：03
2021-03-25 | 2021031 | 红球：06 11 21 25 28 31 | 蓝球：07
2021-03-23 | 2021030 | 红球：08 09 13 27 29 31 | 蓝球：05
2021-03-21 | 2021029 | 红球：08 10 15 17 22 30 | 蓝球：12
2021-03-18 | 2021028 | 红球：11 16 23 26 27 33 | 蓝球：05
2021-03-16 | 2021027 | 红球：05 07 09 16 20 26 | 蓝球：08
2021-03-14 | 2021026 | 红球：03 05 13 19 20 25 | 蓝球：03
2021-03-11 | 2021025 | 红球：06 08 14 17 18 30 | 蓝球：11
2021-03-09 | 2021024 | 红球：01 04 06 10 11 18 | 蓝球：02
2021-03-07 | 2021023 | 红球：02 21 22 23 27 28 | 蓝球：11
2021-03-04 | 2021022 | 红球：10 15 17 25 31 32 | 蓝球：06
2021-03-02 | 2021021 | 红球：04 08 17 24 28 33 | 蓝球：13
2021-02-28 | 2021020 | 红球：01 03 06 07 09 11 | 蓝球：02
2021-02-25 | 2021019 | 红球：12 16 17 24 28 29 | 蓝球：08
2021-02-23 | 2021018 | 红球：02 08 14 23 25 32 | 蓝球：06
2021-02-21 | 2021017 | 红球：09 15 18 29 32 33 | 蓝球：02
2021-02-07 | 2021016 | 红球：03 08 09 13 15 18 | 蓝球：10
2021-02-04 | 2021015 | 红球：06 14 16 26 28 29 | 蓝球：07
2021-02-02 | 2021014 | 红球：04 15 21 25 29 33 | 蓝球：06
2021-01-31 | 2021013 | 红球：06 09 12 16 27 31 | 蓝球：06
2021-01-28 | 2021012 | 红球：03 06 14 18 20 26 | 蓝球：01
2021-01-26 | 2021011 | 红球：05 10 16 23 27 33 | 蓝球：14
2021-01-24 | 2021010 | 红球：01 04 11 19 32 33 | 蓝球：05
2021-01-21 | 2021009 | 红球：02 04 07 24 25 32 | 蓝球：13
2021-01-19 | 2021008 | 红球：01 05 07 14 18 33 | 蓝球：07
2021-01-17 | 2021007 | 红球：02 04 12 21 25 32 | 蓝球：16
2021-01-14 | 2021006 | 红球：06 08 22 24 25 26 | 蓝球：01
2021-01-12 | 2021005 | 红球：07 09 14 26 30 31 | 蓝球：04
2021-01-10 | 2021004 | 红球：02 03 07 08 17 22 | 蓝球：15
2021-01-07 | 2021003 | 红球：06 09 16 18 22 29 | 蓝球：11
2021-01-05 | 2021002 | 红球：06 10 13 25 26 32 | 蓝球：11
2021-01-03 | 2021001 | 红球：02 03 13 18 20 31 | 蓝球：11
2020-12-31 | 2020134 | 红球：02 09 10 20 22 26 | 蓝球：01
2020-12-29 | 2020133 | 红球：03 19 22 23 27 29 | 蓝球：07
2020-12-27 | 2020132 | 红球：01 04 11 12 14 23 | 蓝球：04
2020-12-24 | 2020131 | 红球：08 19 22 26 27 30 | 蓝球：07
2020-12-22 | 2020130 | 红球：08 09 11 14 17 29 | 蓝球：16
2020-12-20 | 2020129 | 红球：01 02 05 15 28 33 | 蓝球：04
2020-12-17 | 2020128 | 红球：08 10 15 16 23 26 | 蓝球：10
2020-12-15 | 2020127 | 红球：01 04 18 19 26 31 | 蓝球：07
2020-12-13 | 2020126 | 红球：03 07 12 14 23 28 | 蓝球：11
2020-12-10 | 2020125 | 红球：05 12 16 26 30 31 | 蓝球：13
2020-12-08 | 2020124 | 红球：16 18 19 20 29 33 | 蓝球：12
2020-12-06 | 2020123 | 红球：01 03 18 19 26 29 | 蓝球：03
2020-12-03 | 2020122 | 红球：12 15 17 24 26 31 | 蓝球：15
2020-12-01 | 2020121 | 红球：02 04 06 21 25 29 | 蓝球：03
2020-11-29 | 2020120 | 红球：01 02 03 04 09 10 | 蓝球：12
2020-11-26 | 2020119 | 红球：01 09 22 28 32 33 | 蓝球：15
2020-11-24 | 2020118 | 红球：11 13 19 26 30 33 | 蓝球：05
2020-11-22 | 2020117 | 红球：07 08 09 10 16 27 | 蓝球：07
2020-11-19 | 2020116 | 红球：05 06 14 16 19 27 | 蓝球：10
2020-11-17 | 2020115 | 红球：01 04 12 20 25 32 | 蓝球：02
2020-11-15 | 2020114 | 红球：01 05 11 24 30 32 | 蓝球：03
2020-11-12 | 2020113 | 红球：01 03 07 10 22 32 | 蓝球：11
2020-11-10 | 2020112 | 红球：02 09 12 17 28 32 | 蓝球：05
2020-11-08 | 2020111 | 红球：06 09 17 22 24 26 | 蓝球：16
2020-11-05 | 2020110 | 红球：02 06 09 14 22 25 | 蓝球：04
2020-11-03 | 2020109 | 红球：06 13 16 20 23 32 | 蓝球：13
2020-11-01 | 2020108 | 红球：10 12 15 17 23 32 | 蓝球：05
2020-10-29 | 2020107 | 红球：03 09 11 24 25 28 | 蓝球：16
2020-10-27 | 2020106 | 红球：02 04 11 15 18 28 | 蓝球：10
2020-10-25 | 2020105 | 红球：06 14 19 20 22 24 | 蓝球：01
2020-10-22 | 2020104 | 红球：04 08 10 16 27 29 | 蓝球：09
2020-10-20 | 2020103 | 红球：04 09 10 22 28 32 | 蓝球：08
2020-10-18 | 2020102 | 红球：09 10 19 25 26 29 | 蓝球：08
2020-10-15 | 2020101 | 红球：10 17 24 25 28 30 | 蓝球：15
2020-10-13 | 2020100 | 红球：01 07 15 16 20 23 | 蓝球：07
2020-10-11 | 2020099 | 红球：05 06 11 12 15 30 | 蓝球：12
2020-10-08 | 2020098 | 红球：06 08 11 22 25 33 | 蓝球：02
2020-10-06 | 2020097 | 红球：02 08 21 25 26 30 | 蓝球：10
2020-09-29 | 2020096 | 红球：01 20 23 26 27 32 | 蓝球：15
2020-09-27 | 2020095 | 红球：03 09 16 17 20 26 | 蓝球：02
2020-09-24 | 2020094 | 红球：10 15 17 27 29 31 | 蓝球：08
2020-09-22 | 2020093 | 红球：04 05 10 13 15 19 | 蓝球：15
2020-09-20 | 2020092 | 红球：01 06 12 18 22 24 | 蓝球：03
2020-09-17 | 2020091 | 红球：01 09 11 12 16 19 | 蓝球：16
2020-09-15 | 2020090 | 红球：02 21 23 26 31 32 | 蓝球：06
2020-09-13 | 2020089 | 红球：02 14 16 21 29 30 | 蓝球：10
2020-09-10 | 2020088 | 红球：01 06 12 26 29 30 | 蓝球：12
2020-09-08 | 2020087 | 红球：11 15 20 23 25 33 | 蓝球：10
2020-09-06 | 2020086 | 红球：02 04 06 15 24 27 | 蓝球：06
2020-09-03 | 2020085 | 红球：01 02 05 09 19 24 | 蓝球：16
2020-09-01 | 2020084 | 红球：03 07 16 17 23 30 | 蓝球：07
2020-08-30 | 2020083 | 红球：01 19 25 26 30 31 | 蓝球：12
2020-08-27 | 2020082 | 红球：02 08 11 17 21 30 | 蓝球：09
2020-08-25 | 2020081 | 红球：01 05 13 14 27 33 | 蓝球：15
2020-08-23 | 2020080 | 红球：14 15 18 22 31 33 | 蓝球：01
2020-08-20 | 2020079 | 红球：05 12 20 21 22 29 | 蓝球：14
2020-08-18 | 2020078 | 红球：03 11 14 16 21 32 | 蓝球：04
2020-08-16 | 2020077 | 红球：03 10 16 21 25 27 | 蓝球：12
2020-08-13 | 2020076 | 红球：10 15 16 18 20 27 | 蓝球：06
2020-08-11 | 2020075 | 红球：03 11 13 20 24 30 | 蓝球：16
2020-08-09 | 2020074 | 红球：04 08 09 13 19 33 | 蓝球：12
2020-08-06 | 2020073 | 红球：05 07 11 13 27 29 | 蓝球：03
2020-08-04 | 2020072 | 红球：06 08 10 15 17 26 | 蓝球：04
2020-08-02 | 2020071 | 红球：09 11 12 13 22 23 | 蓝球：08
2020-07-30 | 2020070 | 红球：01 02 04 06 19 21 | 蓝球：15
2020-07-28 | 2020069 | 红球：03 09 10 13 18 26 | 蓝球：04
2020-07-26 | 2020068 | 红球：12 16 21 26 27 32 | 蓝球：10
2020-07-23 | 2020067 | 红球：04 07 09 23 27 30 | 蓝球：08
2020-07-21 | 2020066 | 红球：02 09 13 17 26 28 | 蓝球：07
2020-07-19 | 2020065 | 红球：09 15 18 21 23 26 | 蓝球：08
2020-07-16 | 2020064 | 红球：01 03 07 21 27 32 | 蓝球：01
2020-07-14 | 2020063 | 红球：12 15 16 22 29 32 | 蓝球：14
2020-07-12 | 2020062 | 红球：10 14 17 22 26 27 | 蓝球：05
2020-07-09 | 2020061 | 红球：08 17 24 26 27 31 | 蓝球：04
2020-07-07 | 2020060 | 红球：05 09 14 20 24 30 | 蓝球：08
2020-07-05 | 2020059 | 红球：02 04 10 17 22 25 | 蓝球：14
2020-07-02 | 2020058 | 红球：01 03 11 12 19 26 | 蓝球：07
2020-06-30 | 2020057 | 红球：09 14 21 23 26 32 | 蓝球：03
2020-06-28 | 2020056 | 红球：02 05 08 12 26 31 | 蓝球：14
2020-06-25 | 2020055 | 红球：01 05 07 23 28 30 | 蓝球：12
2020-06-23 | 2020054 | 红球：03 10 19 25 26 31 | 蓝球：02
2020-06-21 | 2020053 | 红球：02 14 15 16 32 33 | 蓝球：01
2020-06-18 | 2020052 | 红球：02 08 13 29 32 33 | 蓝球：15
2020-06-16 | 2020051 | 红球：03 06 08 11 19 28 | 蓝球：08
2020-06-14 | 2020050 | 红球：04 09 17 20 32 33 | 蓝球：15
2020-06-11 | 2020049 | 红球：01 07 09 12 18 22 | 蓝球：04
2020-06-09 | 2020048 | 红球：12 14 18 23 30 32 | 蓝球：02
2020-06-07 | 2020047 | 红球：04 10 17 19 28 32 | 蓝球：01
2020-06-04 | 2020046 | 红球：13 19 25 26 27 32 | 蓝球：08
2020-06-02 | 2020045 | 红球：02 03 15 21 22 33 | 蓝球：16
2020-05-31 | 2020044 | 红球：07 08 16 17 19 24 | 蓝球：07
2020-05-28 | 2020043 | 红球：01 11 24 25 27 30 | 蓝球：07
2020-05-26 | 2020042 | 红球：02 06 07 11 14 31 | 蓝球：03
2020-05-24 | 2020041 | 红球：06 07 16 22 24 25 | 蓝球：13
2020-05-21 | 2020040 | 红球：01 06 12 16 19 21 | 蓝球：04
2020-05-19 | 2020039 | 红球：02 09 10 11 16 29 | 蓝球：02
2020-05-17 | 2020038 | 红球：01 06 07 18 23 24 | 蓝球：15
2020-05-14 | 2020037 | 红球：01 04 11 13 17 24 | 蓝球：15
2020-05-12 | 2020036 | 红球：07 09 16 22 24 32 | 蓝球：06
2020-05-10 | 2020035 | 红球：10 14 24 25 28 33 | 蓝球：11
